Product,Current price,old price,Discount,Review,Ratingd
115  Piece Set Of Multifunctional Precision Screwdrivers,KSh 950,"KSh 1,525",38%,-2,4.5 out of 5
Metal Decorative Hooks Key Hangers Entryway Wall Hooks Towel Hooks - Home,KSh 527,KSh 999,47%,-14,4.1 out of 5
Portable Mini Cordless Car Vacuum Cleaner - Blue,"KSh 2,199","KSh 2,923",25%,-24,4.6 out of 5
Weighing Scale Digital Bathroom Body Fat Scale USB-Black,"KSh 1,580","KSh 2,499",37%,-7,4.7 out of 5
Portable Home Small Air Humidifier 3-Speed Fan - Green,"KSh 1,740","KSh 2,356",26%,-5,4.8 out of 5
"220V 60W Electric Soldering Iron Kits With Tools, Tips, And Multimeter","KSh 2,999","KSh 3,290",9%,-15,4 out of 5
137 Pieces Cake Decorating Tool Set Baking Supplies,"KSh 2,319","KSh 3,032",24%,-55,4.6 out of 5
Desk Foldable Fan Adjustable Fan Strong Wind 3 Gear Usb,KSh 988,"KSh 1,580",37%,-2,4 out of 5
LASA FOLDING TABLE SERVING STAND,"KSh 1,274","KSh 2,800",55%,-5,4.8 out of 5
13 In 1 Home Repair Tools Box Kit Set,"KSh 1,600","KSh 2,929",45%,-5,3.8 out of 5
Genebre 115 In 1 Screwdriver Repairing Tool Set For IPhone Cellphone Hand Tool,KSh 799,KSh 999,20%,-12,4.1 out of 5
100 Pcs Crochet Hook Tool Set Knitting Hook Set With Box,KSh 990,"KSh 1,500",34%,-39,4.7 out of 5
40cm Gold DIY Acrylic Wall Sticker Clock,KSh 552,"KSh 1,035",47%,-12,4.8 out of 5
LASA Digital Thermometer And Hydrometer,KSh 501,KSh 860,42%,-6,4.5 out of 5
Multifunction Laser Level With Adjustment Tripod,"KSh 1,680","KSh 2,499",33%,-9,4.2 out of 5
Anti-Skid Absorbent Insulation Coaster  For Home Office,KSh 332,KSh 684,51%,-2,5 out of 5
Peacock  Throw Pillow Cushion Case For Home Car,KSh 195,KSh 360,46%,-2,5 out of 5
LASA Aluminum Folding Truck Hand Cart - 68kg Max,"KSh 2,025","KSh 3,971",49%,-3,5 out of 5
LED Wall Digital Alarm Clock Study Home 12 / 24H Clock Calendar,"KSh 2,999","KSh 3,699",19%,-5,4.6 out of 5
3D Waterproof EVA Plastic Shower Curtain 1.8*2Mtrs,KSh 998,"KSh 1,966",49%,-44,4.6 out of 5
3PCS Single Head Knitting Crochet Sweater Needle Set,KSh 38,KSh 80,53%,-13,3.3 out of 5
"4pcs Bathroom/Kitchen Towel Rack,Roll Paper Holder,Towel Bars,Hook","KSh 1,860","KSh 3,220",42%,,
"LED Romantic Spaceship Starry Sky Projector,Children's Bedroom Night Light-Blue",KSh 880,"KSh 1,350",35%,-6,4 out of 5
Foldable Overbed Table/Desk,"KSh 1,650","KSh 2,150",23%,-14,4.4 out of 5
LASA 3 Tier Bamboo Shoe Bench Storage Shelf,"KSh 2,048","KSh 4,500",54%,-7,4.3 out of 5
Electronic Digital Display Vernier Caliper,KSh 420,KSh 647,35%,-49,4.6 out of 5
Portable Wardrobe Nonwoven With 3 Hanging Rods And 6 Storage Shelves,"KSh 2,880","KSh 3,520",18%,-12,3.8 out of 5
12 Litre Black Insulated Lunch Box,"KSh 1,350","KSh 1,990",32%,-13,3.8 out of 5
52 Pieces Cake Decorating Tool Set Gift Kit Baking Supplies,"KSh 1,758","KSh 2,499",30%,-20,4.1 out of 5
MultiFunctional Storage Rack Multi-layer Bookshelf,"KSh 2,200","KSh 4,080",46%,,
Exfoliate And Exfoliate Face Towel - Black,KSh 185,KSh 382,52%,-9,4.3 out of 5
12 Litre Insulated Lunch Box Grey,KSh 980,"KSh 1,490",34%,-12,4.7 out of 5
"LED Eye Protection  Desk Lamp , Study, Reading, USB Fan - Double Pen Holder","KSh 1,820","KSh 3,490",48%,-9,4.3 out of 5
53Pcs/Set Yarn Knitting Crochet Hooks With Bag - Fortune Cat,"KSh 1,940","KSh 2,650",27%,-20,4.7 out of 5
53 Pieces/Set Yarn Knitting Crochet Hooks With Bag - Pansies,"KSh 1,980","KSh 2,699",27%,-32,4.5 out of 5
"DIY File Folder, Office Drawer File Holder, Pen Holder, Desktop Storage Rack","KSh 1,620","KSh 2,690",40%,-1,5 out of 5
Classic Black Cat Cotton Hemp Pillow Case For Home Car,KSh 171,KSh 360,53%,-2,5 out of 5
